customer_id,recency,frequency,historical_revenue,average_order_value,transaction_count,total_quantity,unique_products,future_revenue
12346.0,234,12,77556.46,2281.0723529411766,34,74285,27,0.0
12347.0,38,6,3402.39,20.746280487804878,164,2099,107,1519.14
12348.0,157,4,1709.4,35.612500000000004,48,2497,25,310.0
12349.0,316,3,2671.14,26.18764705882353,102,993,90,1757.55
12350.0,218,1,334.4,19.670588235294115,17,197,17,0.0
12351.0,284,1,300.93,14.33,21,261,21,0.0
12352.0,170,7,1905.6100000000001,34.02875,56,442,38,944.23
12353.0,112,2,406.76,16.948333333333334,24,212,23,0.0
12354.0,141,1,1079.4,18.610344827586207,58,530,58,0.0
12355.0,123,2,947.61,27.074571428571428,35,543,35,0.0
12356.0,154,5,6313.38,45.09557142857143,140,3411,104,58.349999999999994
12357.0,297,2,12079.99,73.2120606060606,165,3879,165,6207.67
12358.0,59,4,3203.87,45.769571428571425,70,931,56,683.2
12359.0,98,9,6059.09,23.304192307692308,260,2095,230,2814.3
12360.0,21,7,3209.11,19.687791411042944,163,1968,123,1043.78
12361.0,196,4,511.25,17.629310344827587,29,235,18,0.0
12362.0,29,5,1877.35,17.710849056603774,106,989,89,3478.88
12363.0,18,2,552.0,24.0,23,408,23,0.0
12364.0,21,1,623.92,18.350588235294115,34,555,34,689.18
12365.0,200,2,641.38,29.153636363636362,22,174,22,0.0
12366.0,542,1,500.24,166.74666666666667,3,296,3,0.0
12368.0,536,1,917.7,50.983333333333334,18,330,18,0.0
12369.0,322,3,1791.15,19.25967741935484,93,1241,90,0.0
12370.0,183,6,3577.28,20.67791907514451,173,2224,150,739.28
12371.0,318,3,2179.42,20.95596153846154,104,845,91,1887.96
12372.0,121,2,914.9200000000001,23.45948717948718,39,592,32,383.12
12373.0,220,3,1127.65,22.110784313725492,51,516,36,0.0
12374.0,330,3,2246.29,44.9258,50,1020,47,742.9300000000001
12375.0,7,1,230.3,20.936363636363637,11,87,11,227.20000000000002
12376.0,298,2,503.15,38.70384615384615,13,240,11,0.0
12377.0,224,4,3426.32,22.54157894736842,152,2105,129,0.0
12378.0,38,2,5416.32,17.994418604651162,301,3316,281,0.0
12379.0,78,3,1227.82,20.128196721311475,61,619,50,392.4
12380.0,94,8,7559.04,36.16765550239234,209,2521,125,2117.26
12381.0,28,1,1268.74,20.463548387096775,62,568,62,576.57
12383.0,93,5,1850.56,18.69252525252525,99,1532,84,0.0
12384.0,30,1,292.69,20.90642857142857,14,62,14,292.58
12385.0,288,1,1938.4,29.821538461538463,65,612,65,0.0
12386.0,246,2,401.9,40.19,10,354,10,0.0
12387.0,323,1,143.94,15.993333333333332,9,134,9,0.0
12388.0,57,6,2788.79,24.041293103448275,116,1299,77,1112.32
12389.0,311,3,1433.33,29.251632653061222,49,614,41,0.0
12391.0,373,5,2285.18,13.133218390804597,174,911,159,439.66
12392.0,500,1,234.75000000000003,33.53571428571429,7,73,7,0.0
12393.0,154,5,1877.95,22.901829268292683,82,1017,53,521.5
12394.0,126,1,381.08,18.146666666666665,21,182,21,891.4
12395.0,21,11,3602.11,19.791813186813187,182,2716,122,1119.06
12396.0,583,1,931.43,14.329692307692307,65,591,65,0.0
12397.0,44,1,1214.81,17.35442857142857,70,704,70,1195.09
12399.0,28,7,1962.3,17.83909090909091,110,2198,67,0.0
12400.0,323,1,205.25,18.65909090909091,11,91,11,0.0
12401.0,212,1,84.3,16.86,5,11,5,0.0
12402.0,232,6,1256.9,17.955714285714286,70,584,43,0.0
12403.0,430,1,591.6600000000001,147.91500000000002,4,164,4,427.70000000000005
12404.0,590,1,63.24,63.24,1,1,1,0.0
12405.0,57,1,1710.39,31.67388888888889,54,857,54,0.0
12406.0,92,4,4596.31,41.784636363636366,110,2391,81,1794.05
12407.0,42,4,1407.36,21.99,64,1237,50,300.76
12408.0,7,7,3586.27,26.369632352941178,136,1864,90,754.5
12409.0,91,5,18553.7,84.72009132420092,219,10734,165,4865.59
12410.0,217,3,1013.71,25.342750000000002,40,341,36,0.0
12411.0,318,1,346.9,15.768181818181818,22,138,22,0.0
12412.0,46,5,2260.79,20.367477477477475,111,1767,74,336.14000000000004
12413.0,145,3,805.25,19.640243902439025,41,238,37,194.20000000000002
12414.0,126,6,952.41,34.01464285714285,28,495,21,0.0
12415.0,8,22,121631.72,149.79275862068965,812,80774,438,22826.65
12416.0,565,1,202.56,18.414545454545454,11,132,11,0.0
12417.0,15,18,5964.83,18.353323076923076,325,2561,252,832.58
12418.0,21,4,2021.2,19.815686274509805,102,1088,90,0.0
12419.0,294,2,503.01,20.1204,25,231,23,0.0
12421.0,23,5,920.12,16.430714285714284,56,575,38,178.48000000000002
12422.0,4,17,5231.8,30.417441860465118,172,2596,137,0.0
12423.0,9,9,2413.75,16.30912162162162,148,1590,119,208.64000000000001
12424.0,71,4,3340.03,36.30467391304348,92,2025,78,0.0
12425.0,357,1,964.21,17.53109090909091,55,651,55,777.2
12426.0,103,2,1345.21,17.470259740259742,77,584,73,0.0
12427.0,280,1,303.5,30.35,10,79,10,522.3
12428.0,29,8,7548.12,27.054193548387097,279,3386,252,408.34000000000003
12429.0,81,7,5298.89,42.054682539682545,126,2378,107,905.52
12431.0,28,23,8819.34,25.939235294117648,340,3802,220,1612.88
12432.0,79,3,4016.66,52.85078947368421,76,1427,75,1042.66
12433.0,0,6,9813.5,26.739782016348773,367,7894,227,6980.64
12434.0,169,2,583.54,16.209444444444443,36,215,34,519.89
12435.0,176,5,10075.03,106.05294736842106,95,3782,81,3850.9000000000005
12436.0,8,1,509.01000000000005,31.813125000000003,16,211,16,0.0
12437.0,7,32,10543.4,22.625321888412017,466,6875,230,2140.0
12438.0,49,1,890.07,18.16469387755102,49,586,49,2016.78
12439.0,591,2,1142.88,16.096901408450705,71,478,69,0.0
12440.0,371,2,859.2,26.85,32,331,21,0.0
12441.0,275,1,173.55,15.77727272727273,11,121,11,0.0
12443.0,641,1,485.31,23.11,21,182,21,0.0
12444.0,30,2,2627.27,25.021619047619048,105,650,96,2378.19
12445.0,329,1,301.58000000000004,15.079000000000002,20,144,20,133.4
12447.0,152,1,476.49,18.326538461538462,26,190,26,0.0
12449.0,0,5,3493.18,24.599859154929575,142,1758,93,1342.71
12450.0,65,5,688.2,18.6,37,442,31,0.0
12451.0,126,5,8942.18,25.403920454545457,352,6889,259,3727.7
12453.0,43,1,707.09,16.443953488372095,43,473,43,0.0
12454.0,304,4,13151.44,526.0576,25,6697,9,3528.34
12455.0,36,9,5589.45,26.87235576923077,208,2979,181,290.5
12456.0,40,2,2265.4,26.34186046511628,86,1073,77,915.64
12457.0,142,4,1699.9299999999998,36.16872340425532,47,648,37,1295.98
12458.0,193,3,1272.01,19.569384615384614,65,750,58,505.48
12459.0,514,1,454.36,19.754782608695653,23,258,23,0.0
12460.0,365,1,326.65,18.147222222222222,18,170,18,0.0
12461.0,2,2,826.88,23.62514285714286,35,287,35,0.0
12462.0,212,1,762.11,19.05275,40,287,40,427.48
12463.0,84,3,985.79,16.16049180327869,61,577,51,358.99
12464.0,15,6,780.55,37.16904761904762,21,81,6,431.5
12465.0,78,1,440.94,16.959230769230768,26,294,26,301.25
12466.0,590,1,56.73,56.73,1,1,1,0.0
12467.0,332,1,132.8,14.755555555555556,9,129,9,0.0
12468.0,96,5,3670.74,24.4716,150,2201,127,0.0
12469.0,431,2,3070.54,40.40184210526316,76,2552,76,0.0
12470.0,598,1,211.95000000000002,9.215217391304348,23,95,23,0.0
12471.0,15,68,31210.54,33.27349680170576,938,12998,213,8707.65
12472.0,47,17,14604.78,19.44711051930759,751,9318,367,1644.51
12473.0,23,2,1175.75,18.37109375,64,853,60,2752.3
12474.0,7,26,9410.72,17.656135084427767,533,5905,285,2962.0299999999997
12475.0,318,1,426.26,17.0504,25,236,25,723.38
12476.0,49,18,10459.16,26.27929648241206,398,4355,292,3624.75
12477.0,9,6,15890.66,34.32107991360691,463,4984,276,4385.71
12480.0,52,6,4328.17,21.426584158415842,202,2341,146,1136.68
12481.0,88,13,10690.95,33.40921875,320,6215,213,1494.56
12482.0,484,29,23691.4,116.1343137254902,204,27042,42,0.0
12483.0,7,17,4236.26,36.51948275862069,116,1842,60,860.9200000000001
12484.0,9,10,5485.43,13.44468137254902,408,2936,296,868.6700000000001
12485.0,438,1,708.1,20.826470588235296,34,414,34,0.0
12486.0,340,1,1037.28,21.168979591836734,49,523,49,0.0
12487.0,639,1,285.29999999999995,142.64999999999998,2,174,2,0.0
12489.0,245,1,334.93,22.328666666666667,15,105,15,0.0
12490.0,2,17,7958.3,20.83324607329843,382,4852,171,1865.34
12492.0,14,2,578.39,18.65774193548387,31,321,30,136.82
12493.0,74,2,433.74,19.715454545454545,22,207,20,0.0
12494.0,70,7,1438.03,17.536951219512193,82,636,62,377.24
12495.0,549,1,357.4,21.023529411764706,17,130,17,0.0
12496.0,529,2,45.34,4.534000000000001,10,30,10,0.0
12497.0,309,2,5205.400000000001,121.05581395348838,43,4449,30,1043.1
12499.0,469,1,393.72,14.582222222222223,27,302,27,0.0
12500.0,15,14,3471.23,29.668632478632478,117,1969,75,2483.98
12501.0,245,1,2169.39,14.559664429530201,149,1783,149,0.0
12502.0,4,5,3723.87,25.332448979591835,147,820,102,0.0
12503.0,493,1,1126.0,563.0,2,561,2,0.0
12504.0,326,2,297.0,27.0,11,368,8,482.04999999999995
12505.0,317,1,955.2,22.742857142857144,42,324,42,0.0
12506.0,141,1,73.5,3.1956521739130435,23,23,23,0.0
12507.0,42,4,1844.06,37.633877551020404,49,1256,46,0.0
12509.0,193,1,176.5,25.214285714285715,7,55,7,0.0
12510.0,51,9,5178.02,35.71048275862069,145,2049,94,0.0
12511.0,337,1,3084.02,16.231684210526314,190,1753,190,0.0
12513.0,21,1,612.29,17.494,35,462,35,0.0
12514.0,175,2,1597.76,19.02095238095238,84,840,76,0.0
12515.0,262,1,383.7,23.98125,16,131,16,0.0
12516.0,89,3,1919.76,31.471475409836067,61,1422,42,728.86
12517.0,35,2,1521.45,8.359615384615385,182,834,173,960.15
12518.0,19,1,324.83,18.04611111111111,18,187,18,1732.06
12519.0,385,1,385.7,17.53181818181818,22,212,22,330.84
12520.0,51,4,2045.85,16.90785123966942,121,1099,104,588.41
12521.0,51,1,599.68,15.781052631578946,38,309,38,0.0
12523.0,16,19,3580.33,17.380242718446603,206,1958,144,772.02
12524.0,71,15,9762.869999999999,46.05127358490566,212,5769,138,1363.24
12525.0,406,3,973.73,16.228833333333334,60,509,56,0.0
12526.0,3,1,520.3,17.941379310344825,29,318,29,796.36
12527.0,203,4,671.72,23.162758620689655,29,513,24,63.790000000000006
12528.0,23,4,1287.37,19.805692307692308,65,503,46,646.11
12529.0,437,1,316.48,15.07047619047619,21,192,21,0.0
12530.0,32,8,3318.63,24.04804347826087,138,2400,85,440.63
12531.0,595,1,1807.98,16.43618181818182,110,1074,110,125.22
12533.0,536,2,1367.89,18.998472222222222,72,704,63,0.0
12534.0,39,1,1089.18,17.28857142857143,63,651,63,0.0
12535.0,0,2,716.35,21.069117647058825,34,219,28,0.0
12537.0,317,1,732.9399999999999,17.045116279069767,43,449,43,0.0
12538.0,287,1,276.5,21.26923076923077,13,145,13,363.95
12539.0,170,6,10164.09,22.047917570498917,461,4089,247,1050.66
12540.0,1,27,18101.11,29.480635179153097,614,8767,301,4153.38
12541.0,81,2,536.14,19.14785714285714,28,419,27,445.04
12542.0,392,2,481.88,12.355897435897436,39,522,39,0.0
12543.0,357,1,980.25,22.796511627906977,43,688,43,0.0
12545.0,168,1,628.15,18.474999999999998,34,346,34,372.24
12547.0,106,3,383.58,18.265714285714285,21,309,13,0.0
12548.0,75,1,95.19999999999999,19.04,5,49,5,0.0
12549.0,484,6,1575.68,32.15673469387755,49,1366,38,0.0
12551.0,266,1,168.0,16.8,10,100,10,0.0
12553.0,19,9,3336.06,18.33,182,1711,96,1272.69
12554.0,357,1,468.5,18.01923076923077,26,240,26,0.0
12555.0,590,1,129.23,129.23,1,1,1,0.0
12556.0,60,1,308.75,4.75,65,163,60,290.81
12557.0,67,7,15106.140000000001,308.28857142857146,49,5462,15,2990.0
12559.0,219,2,561.71,26.74809523809524,21,283,21,0.0
12560.0,21,2,1436.31,18.653376623376623,77,820,77,697.7
12561.0,211,1,238.85,14.928125,16,177,16,0.0
